item,price,url,is_autograph,vendor,ds
TO1 - 4th Mini Album [UP2U],26.99,https://shop.mwave.me/en/567890.html,true,mwave,2022-11-14
woo!ah! – 4th Single Album [Pit-a-Pat],25.99,https://shop.mwave.me/en/567874.html,true,mwave,2022-11-14
TEMPEST - 3rd Mini Album [ON and ON],28.99,https://shop.mwave.me/en/567861.html,true,mwave,2022-11-14
ATBO – 2nd Mini Album [The Beginning : 始作],26.99,https://shop.mwave.me/en/567855.html,true,mwave,2022-11-14
JUST B - 3rd Mini Album [= (NEUN)],26.99,https://shop.mwave.me/en/567811.html,true,mwave,2022-11-14
NINE.i - 2nd Mini Album [I (Part.1)],26.99,https://shop.mwave.me/en/567792001.html,true,mwave,2022-11-14
JO YURI - 2nd Single Album [Op.22 Y-Waltz : in Minor],24.99,https://shop.mwave.me/en/567622.html,true,mwave,2022-11-14
N.Flying - 8th Mini Album [Dearest],26.99,https://shop.mwave.me/en/567564.html,true,mwave,2022-11-14
Kep1er - 3rd Mini Album [TROUBLESHOOTER] (Digipack Ver.),22.99,https://shop.mwave.me/en/567534.html,true,mwave,2022-11-14
CHOI YOOJUNG - 1st Single Album [Sunflower],27.99,https://shop.mwave.me/en/567331.html,true,mwave,2022-11-14
KIM JAEHWAN - 5th Mini Album [Empty Dream] (Platform Album ver.),23.99,https://shop.mwave.me/en/567312001.html,true,mwave,2022-11-14
TEMPEST – 2ND MINI ALBUM [SHINING UP],28.99,https://shop.mwave.me/en/567196.html,true,mwave,2022-11-14
YENA - 2nd Mini Album [SMARTPHONE],26.99,https://shop.mwave.me/en/567106.html,true,mwave,2022-11-14
ATBO – DEBUT ALBUM [The Beginning],26.99,https://shop.mwave.me/en/566935.html,true,mwave,2022-11-14
CHUNG HA - 2nd Album [Bare Rare Pt. 1],30.99,https://shop.mwave.me/en/566908001.html,true,mwave,2022-11-14
YOUNITE - 2ND EP [YOUNI-Q],27.99,https://shop.mwave.me/en/566901.html,true,mwave,2022-11-14
TO1 – 3RD MINI ALBUM [WHY NOT??],26.99,https://shop.mwave.me/en/566879.html,true,mwave,2022-11-14
P1Harmony - 4th Mini Album [HARMONY : ZERO IN],25.99,https://shop.mwave.me/en/566856.html,true,mwave,2022-11-14
SF9 – 11TH MINI ALBUM [THE WAVE OF9],25.99,https://shop.mwave.me/en/566800.html,true,mwave,2022-11-14
BLITZERS - EP3 [WIN-DOW],26.99,https://shop.mwave.me/en/566649.html,true,mwave,2022-11-14
fromis_9 - 5th Mini Album [from our Memento Box],28.99,https://shop.mwave.me/en/566338.html,true,mwave,2022-11-14
Kep1er - 2nd Mini Album [DOUBLAST],26.99,https://shop.mwave.me/en/566335.html,true,mwave,2022-11-14
woo!ah! - 1st Mini Album [JOY],27.99,https://shop.mwave.me/en/566301.html,true,mwave,2022-11-14
JO YURI - 1st Mini Album [Op.22 Y-Waltz : in Major],26.99,https://shop.mwave.me/en/566241.html,true,mwave,2022-11-14
LIGHTSUM - 1st Mini Album [Into The Light],27.99,https://shop.mwave.me/en/566091.html,true,mwave,2022-11-14
BVNDIT - 3rd Mini Album [Re-Original],26.99,https://shop.mwave.me/en/566081001.html,true,mwave,2022-11-14
Yoon Jisung - 3rd Mini Album [MIRO(薇路)],27.99,https://shop.mwave.me/en/566008.html,true,mwave,2022-11-14
WOODZ - 4th Mini Album [COLORFUL TRAUMA],26.99,https://shop.mwave.me/en/566004.html,true,mwave,2022-11-14
YOUNITE - 1st EP Album [YOUNI-BIRTH],27.99,https://shop.mwave.me/en/565995.html,true,mwave,2022-11-14
E'LAST - 3rd Mini Album [ROAR],28.99,https://shop.mwave.me/en/565990.html,true,mwave,2022-11-14
JUST B - 2nd Mini Album [JUST BEGUN],27.99,https://shop.mwave.me/en/565880.html,true,mwave,2022-11-14
GHOST9 - 6th Mini Album [ARCADE : V],26.99,https://shop.mwave.me/en/565871.html,true,mwave,2022-11-14
EPEX - 3rd EP Album [Prelude of Anxiety Chapter 1. ‘21st Century Boys’],27.99,https://shop.mwave.me/en/565854.html,true,mwave,2022-11-14
Weeekly - 1st Single Album [Play Game : AWAKE],24.99,https://shop.mwave.me/en/565766.html,true,mwave,2022-11-14
Cherry Bullet - 2nd Mini Album [Cherry Wish],25.99,https://shop.mwave.me/en/565761.html,true,mwave,2022-11-14
"TETEMPEST - 1st Mini Album [It’s ME, It’s WE]",28.99,https://shop.mwave.me/en/565732.html,true,mwave,2022-11-14
P1Harmony - 3rd Mini Album [DISHARMONY : FIND OUT],26.99,https://shop.mwave.me/en/565642.html,true,mwave,2022-11-14
fromis_9 – 4th Mini Album [Midnight Guest],27.99,https://shop.mwave.me/en/565599.html,true,mwave,2022-11-14
BLITZERS - 1st Single [BOBBIN],22.99,https://shop.mwave.me/en/565506001.html,true,mwave,2022-11-14
KIM JAEHWAN - 4th Mini Album [THE LETTER],28.99,https://shop.mwave.me/en/565465001.html,true,mwave,2022-11-14
