item,url,price,is_autograph,vendor,is_sold_out,ds
Pre-Order - BoA The 3rd Mini Album 'Forgive Me' (Forgive Ver.),https://smglobalshop.com/products/pre-order-boa-the-3rd-mini-album-forgive-me-forgive-ver,24,False,smglobalshop,False,2022-11-14
Pre-Order - BoA The 3rd Mini Album 'Forgive Me' (Digipack Ver.),https://smglobalshop.com/products/pre-order-boa-the-3rd-mini-album-forgive-me-digipack-ver,21,False,smglobalshop,False,2022-11-14
Pre-Order - BoA The 3rd Mini Album 'Forgive Me' (Hate Ver.),https://smglobalshop.com/products/pre-order-boa-the-3rd-mini-album-forgive-me-hate-ver,26,False,smglobalshop,True,2022-11-14
Pre-Order - [WayV] 2023 SEASON'S GREETINGS,https://smglobalshop.com/products/pre-order-wayv-2023-seasons-greetings,60,False,smglobalshop,False,2022-11-14
Pre-Order - [aespa] 2023 SEASON'S GREETINGS,https://smglobalshop.com/products/pre-order-aespa-2023-seasons-greetings,60,False,smglobalshop,False,2022-11-14
Pre-Order - [NCT DREAM] 2023 SEASON'S GREETINGS,https://smglobalshop.com/products/pre-order-nct-dream-2023-seasons-greetings-1,60,False,smglobalshop,False,2022-11-14
Pre-Order - [NCT 127] 2023 SEASON'S GREETINGS,https://smglobalshop.com/products/pre-order-nct-127-2023-seasons-greetings,60,False,smglobalshop,False,2022-11-14
Pre-Order - [Red Velvet] 2023 SEASON'S GREETINGS,https://smglobalshop.com/products/pre-order-red-velvet-2023-seasons-greetings,60,False,smglobalshop,False,2022-11-14
Pre-Order - [EXO] 2023 SEASON'S GREETINGS,https://smglobalshop.com/products/pre-order-exo-2023-seasons-greetings,60,False,smglobalshop,False,2022-11-14
Pre-Order - [SHINee] 2023 SEASON'S GREETINGS,https://smglobalshop.com/products/pre-order-shinee-2023-seasons-greetings,60,False,smglobalshop,False,2022-11-14
Pre-Order - [TVXQ!] 2023 SEASON'S GREETINGS,https://smglobalshop.com/products/pre-order-nct-dream-2023-seasons-greetings,60,False,smglobalshop,False,2022-11-14
Pre-Order - SUPER JUNIOR 17th Anniversary Opener Key Ring,https://smglobalshop.com/products/pre-order-super-junior-17th-anniversary-opener-key-ring,27,False,smglobalshop,True,2022-11-14
Pre-Order - SUPER JUNIOR 17th Anniversary Lucky Card Set,https://smglobalshop.com/products/pre-order-super-junior-17th-anniversary-lucky-card-set,16,False,smglobalshop,False,2022-11-14
Pre-Order - SUPER JUNIOR 17th Anniversary Necklace Set,https://smglobalshop.com/products/pre-order-super-junior-17th-anniversary-necklace-set,40,False,smglobalshop,True,2022-11-14
Pre-Order - SUPER JUNIOR 17th Anniversary Acrylic Stand & AR Voice Card Set,https://smglobalshop.com/products/pre-order-super-junior-17th-anniversary-acrylic-stand-ar-voice-card-set,32,False,smglobalshop,False,2022-11-14
Pre-Order - Red Velvet Mini Album ‘The ReVe Festival 2022 - Birthday’ (Cake Ver.) (Limited Edition),https://smglobalshop.com/products/pre-order-red-velvet-mini-album-the-reve-festival-2022-birthday-cake-ver,28,False,smglobalshop,False,2022-11-14
Pre-Order - Red Velvet Mini Album ‘The ReVe Festival 2022 - Birthday’ (Photo Book Ver.),https://smglobalshop.com/products/pre-order-red-velvet-mini-album-the-reve-festival-2022-birthday-photo-book-ver,24,False,smglobalshop,False,2022-11-14
Pre-Order - NCT DREAM 'LAUNDRY SHOP' Ball Cap (Denim),https://smglobalshop.com/products/pre-order-nct-dream-laundry-shop-ball-cap-denim,38,False,smglobalshop,True,2022-11-14
Pre-Order - NCT DREAM 'LAUNDRY SHOP' Ball Cap (Orange),https://smglobalshop.com/products/pre-order-nct-dream-laundry-shop-ball-cap-orange,38,False,smglobalshop,True,2022-11-14
