,item,url,artist,discount_price,price,sold_out,ds
0,TWICE 11th MINI ALBUM BETWEEN 1&2,/product/twice-11th-mini-album-between-12/538/category/56/display/1/,TWICE,18.55,22.9,False,2022-10-24
1,1st Mini Album IM NAYEON,/product/1st-mini-album-im-nayeon/176/category/56/display/1/,NAYEON,17.82,22.0,False,2022-10-24
2,TWICE 1st Mini Album The Story Begins,/product/twice-1st-mini-album-the-story-begins/126/category/56/display/1/,TWICE,11.91,14.7,False,2022-10-24
3,TWICE 2nd Mini Album PAGE TWO,/product/twice-2nd-mini-album-page-two/125/category/56/display/1/,TWICE,12.64,15.6,False,2022-10-24
4,TWICE 3rd Mini Album TWICEcoaster : LANE 1,/product/twice-3rd-mini-album-twicecoaster-lane-1/120/category/56/display/1/,TWICE,12.64,15.6,False,2022-10-24
5,Special Album TWICEcoaster : LANE 2,/product/special-album-twicecoaster-lane-2/117/category/56/display/1/,TWICE,14.09,17.4,False,2022-10-24
6,4th Mini Album Signal,/product/4th-mini-album-signal/116/category/56/display/1/,TWICE,14.09,17.4,False,2022-10-24
7,1st Album Twicetagram,/product/1st-album-twicetagram/114/category/56/display/1/,TWICE,14.82,18.3,False,2022-10-24
8,TWICE 1st Repackage Album Merry & Happy,/product/twice-1st-repackage-album-merry-happy/112/category/56/display/1/,TWICE,14.82,18.3,False,2022-10-24
9,TWICE 5th Mini Album What is Love?,/product/twice-5th-mini-album-what-is-love/108/category/56/display/1/,TWICE,14.82,18.3,False,2022-10-24
10,2nd Summer Special Album Summer Nights,/product/2nd-summer-special-album-summer-nights/107/category/56/display/1/,TWICE,14.82,18.3,False,2022-10-24
11,6th Mini Album YES or YES,/product/6th-mini-album-yes-or-yes/104/category/56/display/1/,TWICE,15.63,19.3,False,2022-10-24
12,"TWICE 3rd Special Album The year of ""YES""",/product/twice-3rd-special-album-the-year-of-yes/103/category/56/display/1/,TWICE,15.63,19.3,False,2022-10-24
13,TWICE 8th Mini Album Feel Special,/product/twice-8th-mini-album-feel-special/96/category/56/display/1/,TWICE,16.36,20.2,False,2022-10-24
