,item,url,artist,discount_price,price,sold_out,ds
0,TWICE 11th MINI ALBUM BETWEEN 1&2,/product/twice-11th-mini-album-between-12/538/category/56/display/1/,TWICE,18.55,22.9,False,2022-11-14
1,1st Mini Album IM NAYEON,/product/1st-mini-album-im-nayeon/176/category/56/display/1/,NAYEON,17.82,22.0,False,2022-11-14
2,TWICE 1st Mini Album The Story Begins,/product/twice-1st-mini-album-the-story-begins/126/category/56/display/1/,TWICE,11.91,14.7,False,2022-11-14
3,TWICE 3rd Mini Album TWICEcoaster : LANE 1,/product/twice-3rd-mini-album-twicecoaster-lane-1/120/category/56/display/1/,TWICE,12.64,15.6,False,2022-11-14
4,Special Album TWICEcoaster : LANE 2,/product/special-album-twicecoaster-lane-2/117/category/56/display/1/,TWICE,14.09,17.4,False,2022-11-14
5,4th Mini Album Signal,/product/4th-mini-album-signal/116/category/56/display/1/,TWICE,14.09,17.4,False,2022-11-14
6,TWICE 1st Repackage Album Merry & Happy,/product/twice-1st-repackage-album-merry-happy/112/category/56/display/1/,TWICE,14.82,18.3,False,2022-11-14
7,TWICE 5th Mini Album What is Love?,/product/twice-5th-mini-album-what-is-love/108/category/56/display/1/,TWICE,14.82,18.3,False,2022-11-14
8,2nd Summer Special Album Summer Nights,/product/2nd-summer-special-album-summer-nights/107/category/56/display/1/,TWICE,14.82,18.3,False,2022-11-14
9,"TWICE 3rd Special Album The year of ""YES""",/product/twice-3rd-special-album-the-year-of-yes/103/category/56/display/1/,TWICE,15.63,19.3,False,2022-11-14
10,TWICE 2nd Album Eyes wide open,/product/twice-2nd-album-eyes-wide-open/88/category/56/display/1/,TWICE,17.09,21.1,False,2022-11-14
11,10th Mini Album Taste of Love,/product/10th-mini-album-taste-of-love/85/category/56/display/1/,TWICE,17.09,21.1,False,2022-11-14
12,3rd Album - Formula of Love : O+T=<3 (Result file ver.),/product/3rd-album-formula-of-love-ot/73/category/56/display/1/,TWICE,14.82,18.3,False,2022-11-14
