,item,url,artist,discount_price,price,sold_out,ds
0,TWICE IMAGE PICKET - TWICE 7TH ANNIVERSARY,/product/twice-image-picket-twice-7th-anniversary/935/category/293/display/1/,TWICE,0.0,9.0,False,2022-11-14
1,TWICE PAPER AIR FRESHENER  - TWICE 7TH ANNIVERSARY,/product/twice-paper-air-freshener-twice-7th-anniversary/929/category/293/display/1/,TWICE,0.0,9.0,False,2022-11-14
2,NAYEON ACRYLIC RING - IM NAYEON,/product/nayeon-acrylic-ring-im-nayeon/527/category/293/display/1/,TWICE,0.0,25.0,False,2022-11-14
3,NAYEON FABRIC POSTER CALENDAR - IM NAYEON,/product/nayeon-fabric-poster-calendar-im-nayeon/524/category/293/display/1/,TWICE,0.0,18.0,False,2022-11-14
4,NAYEON DECO STICKER PACK - IM NAYEON,/product/nayeon-deco-sticker-pack-im-nayeon/523/category/293/display/1/,TWICE,0.0,12.0,False,2022-11-14
5,NAYEON T-SHIRT - IM NAYEON,/product/nayeon-t-shirt-im-nayeon/519/category/293/display/1/,TWICE,0.0,38.0,False,2022-11-14
6,LOVELY ACRYLIC MINI PENDANT - TWICE 7TH ANNIVERSARY,/product/lovely-acrylic-mini-pendant-twice-7th-anniversary/938/category/293/display/1/,LOVELY,0.0,12.0,True,2022-11-14
7,LOVELY MINI PHOTO FRAME KEYRING - TWICE 7TH ANNIVERSARY,/product/lovely-mini-photo-frame-keyring-twice-7th-anniversary/937/category/293/display/1/,LOVELY,0.0,20.0,True,2022-11-14
8,LOVELY 4CUTS PHOTO HOLDER - TWICE 7TH ANNIVERSARY,/product/lovely-4cuts-photo-holder-twice-7th-anniversary/936/category/293/display/1/,LOVELY,0.0,17.0,True,2022-11-14
9,TWICE EXHIBITION STAMP STICKER - TWICE 7TH ANNIVERSARY,/product/twice-exhibition-stamp-sticker-twice-7th-anniversary/934/category/293/display/1/,TWICE,0.0,18.0,True,2022-11-14
10,TWICE ARCRYLIC PHOTO CASE - TWICE 7TH ANNIVERSARY,/product/twice-arcrylic-photo-case-twice-7th-anniversary/933/category/293/display/1/,TWICE,0.0,19.0,True,2022-11-14
11,TWICE BINDER BOOK  - TWICE 7TH ANNIVERSARY,/product/twice-binder-book-twice-7th-anniversary/932/category/293/display/1/,TWICE,0.0,20.0,True,2022-11-14
