item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
Super Junior - [The Renaissance] 10th Album SQUARE STYLE KYUHYUN Version,https://www.kpopalbums.com/collections/hot-deals/products/super-junior-the-renaissance-10th-album-square-style-kyuhyun-version,10.11,20.21,False,0.00,0,0,kpopalbums,True,2022-11-14
Super Junior - [The Renaissance] 10th Album SQUARE STYLE YESUNG Version,https://www.kpopalbums.com/collections/hot-deals/products/super-junior-the-renaissance-10th-album-square-style-yesung-version,10.11,20.21,False,0.00,0,0,kpopalbums,False,2022-11-14
Weki Meki - [New Rules] 4th Mini Album TAKE Version,https://www.kpopalbums.com/collections/hot-deals/products/weki-meki-new-rules-4th-mini-album-take-version-cd-72p-photobook-1p-tag-card-1p-photocard-message-photocard-set-tracking-kpop-sealed-wekimeki-new-rules-take-yllw-c,10.91,15.58,False,,,,kpopalbums,False,2022-11-14
MCND - [THE EARTH: SECRET MISSION CHAPTER.1] 3rd Mini Album 2 Version SET,https://www.kpopalbums.com/collections/hot-deals/products/mcnd-the-earth-secret-mission-chapter-1-3rd-mini-album-2-version-set,18.66,37.33,False,0.00,0,0,kpopalbums,False,2022-11-14
Golden Child - [Without You] 1st Album Repackage,https://www.kpopalbums.com/collections/hot-deals/products/golden-child-without-you-1st-album-repackage-cd-1p-special-poster-on-pack-80p-booklet-1p-special-film-1p-photocard-message-photocard-set-tracking-kpop-sealed-golden-child-without-you-c,16.51,19.42,False,,,,kpopalbums,True,2022-11-14
Weki Meki - [New Rules] 4th Mini Album BREAK Version,https://www.kpopalbums.com/collections/hot-deals/products/weki-meki-new-rules-4th-mini-album-break-version-cd-72p-photobook-1p-tag-card-1p-photocard-message-photocard-set-tracking-kpop-sealed-wekimeki-new-rules-break-pple-c,7.79,15.58,False,,,,kpopalbums,False,2022-11-14
Super Junior - [The Renaissance] 10th Album THE RENAISSANCE STYLE BEAUTIFUL Version,https://www.kpopalbums.com/collections/hot-deals/products/super-junior-the-renaissance-10th-album-the-renaissance-style-beautiful-version-cd-photobook-1p-postcard-2p-photocard-message-photocard-set-tracking-kpop-sealed-suju-renaissance-green-c,10.11,20.21,False,,,,kpopalbums,False,2022-11-14
TVXQ! U-Know Yoonho - [Noir] 2nd Mini Album UNCUT Version,https://www.kpopalbums.com/collections/hot-deals/products/tvxq-u-know-yoonho-noir-2nd-mini-album-uncut-version-cd-160p-booklet-1p-making-filme-1p-postcard-1p-photocard-message-photocard-set-tracking-kpop-sealed-u-know-noir-uncut-c,12.01,17.16,False,5.00,0,1,kpopalbums,False,2022-11-14
Han Seung Woo - [FADE] 2nd Mini Album 2 Version SET,https://www.kpopalbums.com/collections/hot-deals/products/han-seung-woo-fade-2nd-mini-album-2-version-set,24.13,34.47,False,0.00,0,0,kpopalbums,False,2022-11-14
Super Junior - [The Renaissance] 10th Album SQUARE STYLE DONGHAE Version,https://www.kpopalbums.com/collections/hot-deals/products/super-junior-the-renaissance-10th-album-square-style-donghae-version,10.11,20.21,False,0.00,0,0,kpopalbums,True,2022-11-14
Super Junior - [The Renaissance] 10th Album SQUARE STYLE EUNHYUK Version,https://www.kpopalbums.com/collections/hot-deals/products/super-junior-the-renaissance-10th-album-square-style-eunhyuk-version,10.11,20.21,False,0.00,0,0,kpopalbums,False,2022-11-14
MCND - [THE EARTH: SECRET MISSION CHAPTER.1] 3rd Mini Album RANDOM Version,https://www.kpopalbums.com/collections/hot-deals/products/mcnd-the-earth-secret-mission-chapter-1-3rd-mini-album-random-version,9.35,18.70,False,0.00,0,0,kpopalbums,False,2022-11-14
MCND - [THE EARTH: SECRET MISSION CHAPTER.1] 3rd Mini Album REASON (야광) Version,https://www.kpopalbums.com/collections/hot-deals/products/mcnd-the-earth-secret-mission-chapter-1-3rd-mini-album-reason-version,9.81,19.63,False,0.00,0,0,kpopalbums,False,2022-11-14
MCND - [THE EARTH: SECRET MISSION CHAPTER.1] 3rd Mini Album UR (발광) Version,https://www.kpopalbums.com/collections/hot-deals/products/mcnd-the-earth-secret-mission-chapter-1-3rd-mini-album-ur-version,9.81,19.63,False,0.00,0,0,kpopalbums,False,2022-11-14
MCND - [MCND Age] 2nd Mini Album RANDOM Version,https://www.kpopalbums.com/collections/hot-deals/products/mcnd-mcnd-age-2nd-mini-album-random-version-cd-1p-folding-poster-on-80p-photobook-1p-sticker-1p-bookmark-1p-photocard-message-photocard-set-tracking-kpop-sealed-mcnd-mcnd-age-ran-c,12.39,17.70,False,,,,kpopalbums,False,2022-11-14
