item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
Layone - [ORIGINALLY] EP Album,https://www.kpopalbums.com/collections/lastest-release/products/layone-originally-ep-album,11.89,13.99,False,0.00,0,0,kpopalbums,True,2022-11-14
TRADE L - [LOVE MAZE] EP Album,https://www.kpopalbums.com/collections/lastest-release/products/trade-l-love-maze-ep-album,13.24,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
AleXa - [Girls Gone Vogue] 1st Mini Album,https://www.kpopalbums.com/collections/lastest-release/products/alexa-girls-gone-vogue-1st-mini-album,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
JEONG EUN JI - [log] Remake Album 2 Version SET,https://www.kpopalbums.com/collections/lastest-release/products/jeong-eun-ji-log-remake-album-2-version-set,30.88,36.33,False,0.00,0,0,kpopalbums,True,2022-11-14
JEONG EUN JI - [log] Remake Album DAILY Log Version,https://www.kpopalbums.com/collections/lastest-release/products/jeong-eun-ji-log-remake-album-daily-log-version,15.84,18.63,False,0.00,0,0,kpopalbums,True,2022-11-14
JEONG EUN JI - [log] Remake Album PLATFORM Version,https://www.kpopalbums.com/collections/lastest-release/products/jeong-eun-ji-log-remake-album-platform-version,11.23,13.21,False,0.00,0,0,kpopalbums,True,2022-11-14
JEONG EUN JI - [log] Remake Album SPECIAL Log Version,https://www.kpopalbums.com/collections/lastest-release/products/jeong-eun-ji-log-remake-album-special-log-version,15.84,18.63,False,0.00,0,0,kpopalbums,True,2022-11-14
Xdinary Heroes - [Overload] 2nd Mini Album 4 Version SET,https://www.kpopalbums.com/collections/lastest-release/products/xdinary-heroes-overload-2nd-mini-album-4-version-set,56.18,66.09,False,0.00,0,0,kpopalbums,False,2022-11-14
Xdinary Heroes - [Overload] 2nd Mini Album A Version,https://www.kpopalbums.com/collections/lastest-release/products/xdinary-heroes-overload-2nd-mini-album-a-version-1,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
Xdinary Heroes - [Overload] 2nd Mini Album B Version,https://www.kpopalbums.com/collections/lastest-release/products/xdinary-heroes-overload-2nd-mini-album-b-version,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
Xdinary Heroes - [Overload] 2nd Mini Album C Version,https://www.kpopalbums.com/collections/lastest-release/products/xdinary-heroes-overload-2nd-mini-album-c-version,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
Xdinary Heroes - [Overload] 2nd Mini Album D Version,https://www.kpopalbums.com/collections/lastest-release/products/xdinary-heroes-overload-2nd-mini-album-d-version,14.59,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
Xdinary Heroes - [Overload] 2nd Mini Album RANDOM Version,https://www.kpopalbums.com/collections/lastest-release/products/xdinary-heroes-overload-2nd-mini-album-random-version,13.86,16.31,False,0.00,0,0,kpopalbums,False,2022-11-14
Acid Angel from Asia (tripleS) - [ACCESS] 2 Version SET,https://www.kpopalbums.com/collections/lastest-release/products/acid-angel-from-asia-triples-access-2-version-set,32.19,37.87,False,0.00,0,0,kpopalbums,False,2022-11-14
Acid Angel from Asia (tripleS) - [ACCESS] 2 Versions + OBJEKT SET,https://www.kpopalbums.com/collections/lastest-release/products/acid-angel-from-asia-triples-access-2-version-set-objekt-set,44.34,52.17,False,0.00,0,0,kpopalbums,True,2022-11-14
