item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
(PRE-ORDER) SEVENTEEN - [THE NAME;17] 2022 SVT Photo Book,https://www.kpopalbums.com/collections/pre-order/products/seventeen-the-name-17-2022-svt-photo-book,37.88,47.35,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) YOOA - [SELFISH] 2nd Mini Album 2 Version SET,https://www.kpopalbums.com/collections/pre-order/products/yooa-selfish-2nd-mini-album-2-version-set,23.07,28.84,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) YOOA - [SELFISH] 2nd Mini Album FISH Version,https://www.kpopalbums.com/collections/pre-order/products/yooa-selfish-2nd-mini-album-fish-version,11.83,14.79,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) YOOA - [SELFISH] 2nd Mini Album HEART Version,https://www.kpopalbums.com/collections/pre-order/products/yooa-selfish-2nd-mini-album-heart-version,11.83,14.79,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) YOOA - [SELFISH] 2nd Mini Album KIHNO KIT,https://www.kpopalbums.com/collections/pre-order/products/yooa-selfish-2nd-mini-album-kihno-kit,16.17,20.21,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) YOOA - [SELFISH] 2nd Mini Album RANDOM Version,https://www.kpopalbums.com/collections/pre-order/products/yooa-selfish-2nd-mini-album-random-version,11.24,14.05,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) [BIG MOUTH] - MBC Drama OST META Album PLATFORM Version,https://www.kpopalbums.com/collections/pre-order/products/big-mouth-mbc-drama-ost-meta-album-platform-version,9.94,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) CHEN - [Last Scene / 사라지고 있어] 3rd Mini Album DIGIPACK 2 Version SET (+ Extra POB),https://www.kpopalbums.com/collections/pre-order/products/chen-last-scene-3rd-mini-album-digipack-2-version-set,19.38,24.22,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) CHEN - [Last Scene / 사라지고 있어] 3rd Mini Album DIGIPACK GRAY Version (+ Extra POB),https://www.kpopalbums.com/collections/pre-order/products/chen-last-scene-3rd-mini-album-digipack-blue-version,9.94,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) CHEN - [Last Scene / 사라지고 있어] 3rd Mini Album DIGIPACK RANDOM Version (+ Extra POB),https://www.kpopalbums.com/collections/pre-order/products/chen-last-scene-3rd-mini-album-digipack-random-version,9.44,11.80,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) CHEN - [Last Scene / 사라지고 있어] 3rd Mini Album DIGIPACK VIOLET Version (+ Extra POB),https://www.kpopalbums.com/collections/pre-order/products/chen-last-scene-3rd-mini-album-digipack-beige-version,9.94,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) CHEN - [Last Scene / 사라지고 있어] 3rd Mini Album PHOTO BOOK 2 Version SET (+ Extra POB),https://www.kpopalbums.com/collections/pre-order/products/chen-last-scene-3rd-mini-album-photo-book-2-version-set,26.78,33.47,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) CHEN - [Last Scene / 사라지고 있어] 3rd Mini Album PHOTO BOOK GRAY Version (+ Extra POB),https://www.kpopalbums.com/collections/pre-order/products/chen-last-scene-3rd-mini-album-photo-book-gray-version,13.73,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) CHEN - [Last Scene / 사라지고 있어] 3rd Mini Album PHOTO BOOK RANDOM Version (+ Extra POB),https://www.kpopalbums.com/collections/pre-order/products/chen-last-scene-3rd-mini-album-photo-book-random-version,13.05,16.31,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) CHEN - [Last Scene / 사라지고 있어] 3rd Mini Album PHOTO BOOK VIOLET Version (+ Extra POB),https://www.kpopalbums.com/collections/pre-order/products/chen-last-scene-3rd-mini-album-photo-book-violet-version,13.73,17.16,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) KIM SUNG KYU - [Dear my fan] 10th Anniversary Single Album META PLATFORM Version,https://www.kpopalbums.com/collections/pre-order/products/kim-sung-kyu-dear-my-fan-10th-anniversary-single-album-meta-platform-version,9.94,12.42,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) Kevin Oh - [Pieces of _] 1st Album,https://www.kpopalbums.com/collections/pre-order/products/kevin-oh-pieces-of-1st-album,16.17,20.21,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) LEE SEOK HOON - [ALIVE] 1st Single Album,https://www.kpopalbums.com/collections/pre-order/products/lee-seok-hoon-alive-1st-single-album,12.46,15.58,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) TRENDZ - [BLUE SET Chapter. UNKNOWN CODE] 1st Single Album,https://www.kpopalbums.com/collections/pre-order/products/trendz-blue-set-chapter-unknown-code-1st-single-album,13.73,17.16,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single Album 2 Version SET,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-album-2-version-set,24.30,30.38,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single Album OVER Version,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-album-over-version,12.46,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single Album RANDOM Version,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-album-random-version,11.84,14.80,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single Album SHY Version,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-album-shy-version,12.46,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single PLATFORM Album 2 Version SET,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-platform-album-2-version-set,19.38,24.22,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single PLATFORM Album OVER Version,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-platform-album-over-version,9.94,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single PLATFORM Album RANDOM Version,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-platform-album-random-version,9.44,11.80,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) VERIVERY - [Liminality - EP.LOVE] 3rd Single PLATFORM Album SHY Version,https://www.kpopalbums.com/collections/pre-order/products/verivery-liminality-ep-love-3rd-single-platform-album-shy-version,9.94,12.42,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) ARTBEAT - [MAGIC] 1st Mini Album,https://www.kpopalbums.com/collections/pre-order/products/artbeat-magic-1st-mini-album,12.46,15.58,False,0.00,0,0,kpopalbums,False,2022-11-14
(PRE-ORDER) DRIPPIN - [Villain:The End] 1st Album 2 Version SET,https://www.kpopalbums.com/collections/pre-order/products/drippin-villain-the-end-1st-album-2-version-set,31.53,39.41,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) DRIPPIN - [Villain:The End] 1st Album DX Version,https://www.kpopalbums.com/collections/pre-order/products/drippin-villain-the-end-1st-album-dx-version,16.17,20.21,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) DRIPPIN - [Villain:The End] 1st Album LIMITED Edition,https://www.kpopalbums.com/collections/pre-order/products/drippin-villain-the-end-1st-album-limited-edition,24.84,31.05,False,0.00,0,0,kpopalbums,True,2022-11-14
(PRE-ORDER) DRIPPIN - [Villain:The End] 1st Album POCA Version,https://www.kpopalbums.com/collections/pre-order/products/drippin-villain-the-end-1st-album-poca-version,11.19,13.99,False,0.00,0,0,kpopalbums,True,2022-11-14
