item,url,discount_price,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
EXO - [Universe] 2017 Winter Special Album,https://www.kpopalbums.com/collections/restocked/products/exo-universe-2017-winter-special-album-cd-booklet-pre-order-item-on-pack-k-pop-sealed-exo-universe-2017-winter-special,13.99,,False,4.80,0,59,kpopalbums,False,2022-11-14
GOT7 - [GOT7] RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/got7-got7,13.04,18.63,False,5.00,0,2,kpopalbums,False,2022-11-14
GOT7 - [Spinning Top] Mini Album RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/got7-spinning-top-new-comeback-album-random-version-cd-84p-photobook-2p-photocard-pre-order-tracking-k-pop-sealed-got7-spinning-ran,11.42,16.31,False,5.00,0,5,kpopalbums,False,2022-11-14
ITZY - [CRAZY IN LOVE] 1st Album Special Edition JEWELCASE Version,https://www.kpopalbums.com/collections/restocked/products/itzy-crazy-in-love-1st-album-special-edition-jewelcase-version,8.76,10.95,False,5.00,0,3,kpopalbums,False,2022-11-14
ITZY - [Guess Who] 4th Mini Album 3 Version SET,https://www.kpopalbums.com/collections/restocked/products/itzy-guess-who-4th-mini-album-3-version-set-cd-1p-mini-folding-poster-on-pack-72p-photobook-2p-photocard-sticker-newspaper-type-lyrics-message-photocard-set-tracking-kpop-sealed-itzy-guess-who-3set-3c,34.51,40.60,False,0.00,0,0,kpopalbums,False,2022-11-14
ITZY - [Guess Who] 4th Mini Album DAY Version,https://www.kpopalbums.com/collections/restocked/products/itzy-guess-who-4th-mini-album-random-version-cd-1p-mini-folding-poster-on-pack-72p-photobook-2p-photocard-sticker-newspaper-type-lyrics-message-photocard-set-tracking-kpop-sealed-itzy-guess-who-day-pink-c,11.89,13.99,False,0.00,0,0,kpopalbums,False,2022-11-14
ITZY - [Guess Who] 4th Mini Album DAY&NIGHT Version,https://www.kpopalbums.com/collections/restocked/products/itzy-guess-who-4th-mini-album-random-version-cd-1p-mini-folding-poster-on-pack-72p-photobook-2p-photocard-sticker-newspaper-type-lyrics-message-photocard-set-tracking-kpop-sealed-itzy-guess-who-d-n-red-c,11.89,13.99,False,0.00,0,0,kpopalbums,False,2022-11-14
ITZY - [Guess Who] 4th Mini Album NIGHT Version,https://www.kpopalbums.com/collections/restocked/products/itzy-guess-who-4th-mini-album-random-version-cd-1p-mini-folding-poster-on-pack-72p-photobook-2p-photocard-sticker-newspaper-type-lyrics-message-photocard-set-tracking-kpop-sealed-itzy-guess-who-night-yllw-c,11.89,13.99,False,5.00,0,1,kpopalbums,False,2022-11-14
ITZY - [Guess Who] 4th Mini Album RANDOM Version,https://www.kpopalbums.com/collections/restocked/products/itzy-guess-who-4th-mini-album-random-version-cd-1p-mini-folding-poster-on-pack-72p-photobook-2p-photocard-sticker-newspaper-type-lyrics-message-photocard-set-tracking-kpop-sealed-itzy-guess-who-ran-c,11.30,13.30,False,5.00,0,2,kpopalbums,False,2022-11-14
ITZY - [Not Shy] 3rd Mini Album 3 Version SET,https://www.kpopalbums.com/collections/restocked/products/itzy-not-shy-3rd-mini-album-3-version-set-cd-72p-photobook-2p-photocard-lyricbook-message-photocard-set-tracking-kpop-sealed-itzy-not-shy-set-c,34.51,40.60,False,,,,kpopalbums,False,2022-11-14
