item,url,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
(여자) 아이들 | (G)I-DLE 1ST FULL ALBUM [ I NEVER DIE ],https://www.musicplaza.com/collections/k-pop/products/%EC%97%AC%EC%9E%90-%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-1st-full-album-i-never-die,26.99,False,5.0,0.0,11.0,musicplaza,False,2022-11-14
(여자) 아이들 | (G)I-DLE 1ST MINI ALBUM [ I AM ],https://www.musicplaza.com/collections/k-pop/products/l200001572,21.99,False,5.0,0.0,12.0,musicplaza,False,2022-11-14
(여자) 아이들 | (G)I-DLE 1ST SINGLE ALBUM [ DUMDI DUMDI ],https://www.musicplaza.com/collections/k-pop/products/%EC%97%AC%EC%9E%90-%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-mini-album-dumdi-dumdi,22.99,False,5.0,0.0,8.0,musicplaza,False,2022-11-14
(여자) 아이들 | (G)I-DLE 2ND MINI ALBUM [ I MADE ],https://www.musicplaza.com/collections/k-pop/products/%EC%97%AC%EC%9E%90-%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-2nd-mini-album-i-made,21.99,False,5.0,0.0,16.0,musicplaza,False,2022-11-14
(여자) 아이들 | (G)I-DLE 4TH MINI ALBUM [ I BURN ],https://www.musicplaza.com/collections/k-pop/products/%EC%97%AC%EC%9E%90-%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-4th-mini-album-i-burn,21.99,False,4.91,0.0,34.0,musicplaza,False,2022-11-14
(여자) 아이들 | (G)I-DLE 5TH MINI ALBUM [ I LOVE ],https://www.musicplaza.com/collections/k-pop/products/%EC%97%AC%EC%9E%90-%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-5th-mini-album-i-love-you,22.99,False,5.0,0.0,1.0,musicplaza,False,2022-11-14
(여자) 아이들 | (G)I-DLE 5TH MINI ALBUM [ I LOVE ] JEWEL VER.,https://www.musicplaza.com/collections/k-pop/products/%EC%97%AC%EC%9E%90-%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-5th-mini-album-i-love-you-jewel-ver,15.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ AESPA ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-aespa,21.99,False,5.0,0.0,2.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ BOA ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-boa,21.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
"2021 WINTER SMTOWN : SMCU EXPRESS [ GINJO, IMLAY, RAIDEN ]",https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-ginjo-imlay-raiden,21.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ GIRLS' GENERATION-OH!GG ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-girls-generation-oh-gg,21.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ KAI ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-kai,21.99,False,5.0,0.0,2.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ KANGTA ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-nct-kangta,21.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ NCT - DAYTIME PASS ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-nct-daytime-pass,21.99,False,4.67,0.0,3.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ NCT - NIGHTTIME PASS ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-nct-nighttime-pass,21.99,False,5.0,0.0,4.0,musicplaza,False,2022-11-14
"2021 WINTER SMTOWN : SMCU EXPRESS [ ONEW, KEY, MINHO OF SHINEE ]",https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-onew-key-minho-of-shinee,21.99,False,5.0,0.0,3.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ RED VELVET ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-red-velvet,22.99,False,5.0,0.0,2.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ SMTOWN VER. ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-smtown-ver,39.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ SUPER JUNIOR ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-super-junior,21.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
2021 WINTER SMTOWN : SMCU EXPRESS [ TVXQ ],https://www.musicplaza.com/collections/k-pop/products/2021-winter-smtown-smcu-exrpess-tvxq,21.99,False,5.0,0.0,1.0,musicplaza,False,2022-11-14
7080 슬기로운 음악생활 오리지널 PART 1 | 2CD,https://www.musicplaza.com/collections/k-pop/products/7080-%EC%8A%AC%EA%B8%B0%EB%A1%9C%EC%9A%B4-%EC%9D%8C%EC%95%85%EC%83%9D%ED%99%9C-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90-part-1-2cd,17.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
AB6IX 5TH EP ALBUM [ A TO B ],https://www.musicplaza.com/collections/k-pop/products/ab6ix-5th-ep-album-a-to-b,23.99,False,5.0,0.0,1.0,musicplaza,False,2022-11-14
BOYS BE LOUD | SBS 2021 WORLDWIDE  BOY GROUP PROJECT,https://www.musicplaza.com/collections/k-pop/products/boys-be-loud-sbs-2021-worldwide-boy-group-project,26.99,False,5.0,0.0,1.0,musicplaza,False,2022-11-14
CIX 5TH EP ALBUM [ OK' EPISODE 1: OK NOT ],https://www.musicplaza.com/collections/k-pop/products/cix-5th-ep-album-ok-episode-1-ok-not,22.99,False,5.0,0.0,3.0,musicplaza,False,2022-11-14
CIX 5TH EP ALBUM [ OK' EPISODE 1: OK NOT ] JEWEL CASE VER.,https://www.musicplaza.com/collections/k-pop/products/cix-5th-ep-album-ok-episode-1-ok-not-jewel-case-ver,14.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
Def. 1ST MINI ALBUM [ LOVE. ],https://www.musicplaza.com/collections/k-pop/products/def-1st-mini-album-love,23.99,False,5.0,0.0,3.0,musicplaza,False,2022-11-14
DINGO X DEJAVU GROUP [ WROTE THIS TOMORROW ],https://www.musicplaza.com/collections/k-pop/products/dingo-x-dejavu-group-wrote-this-tomorrow,24.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
DPR IAN 1ST ALBUM [ MOODSWINGS IN TO ORDER ],https://www.musicplaza.com/collections/k-pop/products/dpr-ian-moodswings-in-to-order,34.99,False,5.0,0.0,1.0,musicplaza,True,2022-11-14
DREAM TECHNO [ TRANCE ],https://www.musicplaza.com/collections/k-pop/products/dream-techno-trance,11.0,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
HANG OUT : HIPHOPPLAYA COMPILATION ALBUM 2021,https://www.musicplaza.com/collections/k-pop/products/hang-out-hiphopplaya-compilation-album-2021,25.99,False,5.0,0.0,1.0,musicplaza,False,2022-11-14
JINJIN & ROCKY 1ST MINI ALBUM [ RESTORE ],https://www.musicplaza.com/collections/k-pop/products/jinjin-rocky-1st-mini-album-restore,24.99,False,5.0,0.0,1.0,musicplaza,False,2022-11-14
JYP NATION [ ONE MIC ] LIMITED EDITION CD + PHOTOBOOK,https://www.musicplaza.com/collections/k-pop/products/jypk0465,49.99,False,0.0,0.0,0.0,musicplaza,True,2022-11-14
MARK TUAN DEBUT SOLO ALBUM [ THE OTHER SIDE ],https://www.musicplaza.com/collections/k-pop/products/mark-tuan-debut-solo-album-the-other-side-hologram-photo-card,28.99,False,5.0,0.0,3.0,musicplaza,False,2022-11-14
MC 민지 | MC. MINZY 3RD SINGLE ALBUM [ 오 에 오 (O EH O) ] feat.EUNJI,https://www.musicplaza.com/collections/k-pop/products/mc-%EB%AF%BC%EC%A7%80-mc-minzy-3rd-single-album-%EC%98%A4-%EC%97%90-%EC%98%A4o-eh-o,19.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
MIYEON (여자) 아이들 | (G)I-DLE 1ST MINI ALBUM [ MY ],https://www.musicplaza.com/collections/k-pop/products/miyeon-%EC%97%AC%EC%9E%90-%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-1st-mini-album-my,23.99,False,5.0,0.0,1.0,musicplaza,False,2022-11-14
PHANTOM 1ST MINI ALBUM [ PHANTOM CITY ],https://www.musicplaza.com/collections/k-pop/products/l200000911,14.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
