item,url,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
스트레이키즈 | STRAY KIDS OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/stray-kids-official-light-stick,59.99,False,4.97,0,175,musicplaza,False,2022-11-15
세븐틴 | SEVENTEEN OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/seventeen-official-light-stick-ver-2,79.99,False,4.98,0,193,musicplaza,True,2022-11-15
에이티즈 | ATEEZ OFFICIAL LIGHT STICK ( VERSION 1 ),https://www.musicplaza.com/collections/light-sticks/products/%EC%97%90%EC%9D%B4%ED%8B%B0%EC%A6%88-ateez-official-light-stick,69.99,False,4.94,0,207,musicplaza,True,2022-11-15
트와이스 | TWICE OFFICIAL LIGHT STICK VER. 2 CANDYBONG Z,https://www.musicplaza.com/collections/light-sticks/products/%ED%8A%B8%EC%99%80%EC%9D%B4%EC%8A%A4-twice-official-lightstick-candybong-z,57.99,False,4.99,0,106,musicplaza,False,2022-11-15
몬스타엑스 | MONSTA X OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/monsta-x-official-light-stick-ver-2,59.99,False,4.95,0,138,musicplaza,False,2022-11-15
엔시티 | NCT OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/24125,59.99,False,4.94,0,122,musicplaza,False,2022-11-15
있지 | ITZY OFFICIAL LIGHT STICK LIGHT RING,https://www.musicplaza.com/collections/light-sticks/products/%EC%9E%88%EC%A7%80-itzy-official-light-ring,59.99,False,4.93,0,56,musicplaza,False,2022-11-15
방탄소년단 | BTS OFFICIAL LIGHT STICK VER. 3,https://www.musicplaza.com/collections/light-sticks/products/bts-official-light-stick-ver-3,63.99,False,4.96,3,124,musicplaza,True,2022-11-15
이달의 소녀 | LOONA OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EC%9D%B4%EB%8B%AC%EC%9D%98-%EC%86%8C%EB%85%80-loona-light-stick-official-md,65.99,False,4.95,0,37,musicplaza,False,2022-11-15
에이티즈 | ATEEZ OFFICIAL LIGHT STICK ver.2,https://www.musicplaza.com/collections/light-sticks/products/ateez-official-light-stick-ver-3,62.99,False,5.00,0,1,musicplaza,False,2022-11-15
드림캐쳐 | DREAMCATCHER OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EB%93%9C%EB%A6%BC%EC%BA%90%EC%B3%90-dreamcatcher-official-light-stick,85.99,False,5.00,0,18,musicplaza,False,2022-11-15
블랙핑크 | BLACKPINK OFFICIAL LIGHT STICK VER. 2 ( 2022 EDITION ),https://www.musicplaza.com/collections/light-sticks/products/%EB%B8%94%EB%9E%99%ED%95%91%ED%81%AC-blackpink-official-light-stick-ver-2,62.99,False,5.00,1,3,musicplaza,False,2022-11-15
갓세븐 | GOT7 OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/got72018l,45.99,False,5.00,0,42,musicplaza,True,2022-11-15
엑소 | EXO OFFICIAL LIGHT STICK VER. 3,https://www.musicplaza.com/collections/light-sticks/products/exo-official-fanlight-ver-3-0-official-light-stick,59.99,False,5.00,0,31,musicplaza,False,2022-11-15
더보이즈 | THE BOYZ OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EB%8D%94%EB%B3%B4%EC%9D%B4%EC%A6%88-the-boyz-official-light-stick,59.99,False,5.00,0,11,musicplaza,False,2022-11-15
샤이니 | SHINEE OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/shinee-official-light-stick-2018,59.99,False,4.89,0,28,musicplaza,True,2022-11-15
블랙핑크 | BLACKPINK OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/bpkstic,35.99,False,4.92,0,39,musicplaza,True,2022-11-15
데이식스 | DAY6 OFFICIAL LIGHT STICK LIGHT BAND,https://www.musicplaza.com/collections/light-sticks/products/day6-official-light-band,39.99,False,4.85,0,27,musicplaza,False,2022-11-15
트와이스 | TWICE OFFICIAL LIGHT STICK MINI KEYRING VER. 2 CANDYBONG Z,https://www.musicplaza.com/collections/light-sticks/products/twice-twaiis-shop-candybong-z-keyring-official-md,29.99,False,5.00,0,6,musicplaza,False,2022-11-15
블랙핑크 | BLACKPINK OFFICIAL LIGHT STICK VER. 2,https://www.musicplaza.com/collections/light-sticks/products/blackpink-official-light-stick-ver-2,59.99,False,4.80,0,10,musicplaza,True,2022-11-15
(여자)아이들 | (G)I-DLE OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/%EC%A7%80%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-official-light-stick,59.99,False,5.00,0,8,musicplaza,False,2022-11-15
레드벨벳 | RED VELVET OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/red-velvet-%EB%A0%88%EB%93%9C%EB%B2%A8%EB%B2%B3-2018-official-light-stick,59.99,False,5.00,0,16,musicplaza,False,2022-11-15
트와이스 | TWICE [ 5TH ANNIVERSARY ] LIGHT BAND KIT,https://www.musicplaza.com/collections/light-sticks/products/twice-light-band-kit-5th-anniversary-official-md,45.99,False,5.00,0,7,musicplaza,False,2022-11-15
슈퍼엠 | SUPERM OFFICIAL LIGHT STICK,https://www.musicplaza.com/collections/light-sticks/products/superm-official-fan-light,49.99,False,4.95,0,19,musicplaza,False,2022-11-15
