item,url,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
(여자) 아이들 | (G)I-DLE | 5TH MINI ALBUM [ I LOVE ] | (X-FILE VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%97%AC%EC%9E%90-%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-5th-mini-album-i-love-x-file-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
(여자) 아이들 | (G)I-DLE | 5TH MINI ALBUM [ I LOVE ] | (ACT VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%97%AC%EC%9E%90-%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-5th-mini-album-i-love-act-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
(여자) 아이들 | (G)I-DLE | 5TH MINI ALBUM [ I LOVE ] | (BORN VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%97%AC%EC%9E%90-%EC%95%84%EC%9D%B4%EB%93%A4-gi-dle-5th-mini-album-i-love-born-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
케플러 | KEP1ER | 3RD MINI ALBUM [ TROUBLESHOOTER ] | (DAYDREAM VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%BC%80%ED%94%8C%EB%9F%AC-kep1er-3rd-mini-album-troubleshooter-daydream-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
케플러 | KEP1ER | 3RD MINI ALBUM [ TROUBLESHOOTER ] | (MIDNIGHT VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%BC%80%ED%94%8C%EB%9F%AC-kep1er-3rd-mini-album-troubleshooter-midnight-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
케플러 | KEP1ER | 3RD MINI ALBUM [ TROUBLESHOOTER ] | (K VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%BC%80%ED%94%8C%EB%9F%AC-kep1er-3rd-mini-album-troubleshooter-k-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
슬기 | SEULGI | 1ST MINI ALBUM [ 28 REASONS ] | (CASE - B VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%8A%AC%EA%B8%B0-seulgi-1st-mini-album-28-reasons-case-b-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
슬기 | SEULGI | 1ST MINI ALBUM [ 28 REASONS ] | (CASE - A VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%8A%AC%EA%B8%B0-seulgi-1st-mini-album-28-reasons-case-a-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
슬기 | SEULGI | 1ST MINI ALBUM [ 28 REASONS ] | (SPECIAL - B VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%8A%AC%EA%B8%B0-seulgi-1st-mini-album-28-reasons-special-b-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
슬기 | SEULGI | 1ST MINI ALBUM [ 28 REASONS ] | (SPECIAL - A VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%8A%AC%EA%B8%B0-seulgi-1st-mini-album-28-reasons-special-a-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
슬기 | SEULGI | 1ST MINI ALBUM [ 28 REASONS ] | (PHOTOBOOK - B VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%8A%AC%EA%B8%B0-seulgi-1st-mini-album-28-reasons-photobook-b-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
슬기 | SEULGI | 1ST MINI ALBUM [ 28 REASONS ] | (PHOTOBOOK - A VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EC%8A%AC%EA%B8%B0-seulgi-1st-mini-album-28-reasons-photobook-a-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
마마무 | MAMAMOO | 12TH MINI ALBUM [ MIC ON ] | (D VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EB%A7%88%EB%A7%88%EB%AC%B4-mamamoo-12th-mini-album-mic-on-d-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
마마무 | MAMAMOO | 12TH MINI ALBUM [ MIC ON ] | (C VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EB%A7%88%EB%A7%88%EB%AC%B4-mamamoo-12th-mini-album-mic-on-c-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
마마무 | MAMAMOO | 12TH MINI ALBUM [ MIC ON ] | (B VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EB%A7%88%EB%A7%88%EB%AC%B4-mamamoo-12th-mini-album-mic-on-b-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
마마무 | MAMAMOO | 12TH MINI ALBUM [ MIC ON ] | (A VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EB%A7%88%EB%A7%88%EB%AC%B4-mamamoo-12th-mini-album-mic-on-a-ver-poster-only,3.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
박지훈 | PARK JIHOON | 6TH MINI ALBUM [ THE ANSWER ] | (NIGHT VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EB%B0%95%EC%A7%80%ED%9B%88-park-jihoon-6th-mini-album-the-answer-night-ver-poster-only,2.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
박지훈 | PARK JIHOON | 6TH MINI ALBUM [ THE ANSWER ] | (DAY VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%EB%B0%95%EC%A7%80%ED%9B%88-park-jihoon-6th-mini-album-the-answer-day-ver-poster-only,2.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
킹덤 | KINGDOM | 5TH MINI ALBUM [ HISTORY OF KINGDOM: PART V. LOUIS ] | (ETERNITY VER.) POSTER ONLY,https://www.musicplaza.com/collections/cd/products/%ED%82%B9%EB%8D%A4-kingdom-5th-mini-album-history-of-kingdom-part-v-louis-eternity-ver-poster-only,2.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
