item,url,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
피원하모니 | P1HARMONY 5TH MINI ALBUM [ HARMONY : SET IN ] PLATFORM VER.,https://www.musicplaza.com/collections/new-releases/products/%ED%94%BC%EC%9B%90%ED%95%98%EB%AA%A8%EB%8B%88-p1harmony-5th-mini-album-harmony-set-in-platform-ver,13.99,False,0.0,0,0,musicplaza,False,2022-11-14
피원하모니 | P1HARMONY 5TH MINI ALBUM [ HARMONY : SET IN ],https://www.musicplaza.com/collections/new-releases/products/%ED%94%BC%EC%9B%90%ED%95%98%EB%AA%A8%EB%8B%88-p1harmony-5th-mini-album-harmony-set-in,22.99,False,0.0,0,0,musicplaza,False,2022-11-14
피프티 피프티 | FIFTY FIFTY 1ST EP ALBUM [ THE FIFTY ],https://www.musicplaza.com/collections/new-releases/products/%ED%94%BC%ED%94%84%ED%8B%B0-%ED%94%BC%ED%94%84%ED%8B%B0-fifty-fifty-1st-ep-album-the-fifty,23.99,False,0.0,0,0,musicplaza,False,2022-11-14
스테이씨 | STAYC 2023 SEASON'S GREETINGS,https://www.musicplaza.com/collections/new-releases/products/%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%94%A8-stayc-2023-seasons-greetings,59.99,False,0.0,0,0,musicplaza,False,2022-11-14
에이티즈 | ATEEZ 2023 SEASON'S GREETINGS,https://www.musicplaza.com/collections/new-releases/products/%EC%97%90%EC%9D%B4%ED%8B%B0%EC%A6%88-ateez-2023-seasons-greetings,59.99,False,0.0,0,0,musicplaza,False,2022-11-14
알엠 | RM [ INDIGO ] BOOK EDITION + DECO STICKER,https://www.musicplaza.com/collections/new-releases/products/%EC%95%8C%EC%97%A0-rm-indigo-book-edition,23.99,False,0.0,0,0,musicplaza,False,2022-11-14
알엠 | RM [ INDIGO ] POSTCARD EDITION | WEVERSE ALBUM VER.,https://www.musicplaza.com/collections/new-releases/products/%EC%95%8C%EC%97%A0-rm-indigo-postcard-edition-weverse-album-ver,16.99,False,0.0,0,0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 37 | [ YOUNGJAE ] SUGAR | OFFICIAL PHOTOCARD,https://www.musicplaza.com/collections/new-releases/products/holiday-special-37-youngjae-sugar-official-photocard,9.99,False,0.0,0,0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 30 | [ BRAVE GIRLS ] THANK YOU | OFFICIAL CIRCLE CARD,https://www.musicplaza.com/collections/new-releases/products/holiday-special-30-brave-girls-thank-you-official-circle-card,9.99,False,0.0,0,0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 33A | [ LOONA ] FLIP THAT | OFFICIAL PHOTOCARD (VER. A),https://www.musicplaza.com/collections/new-releases/products/holiday-special-33a-loona-flip-that-official-photocard,9.99,False,0.0,0,0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 35 | [ NMIXX ] AD MARE | OFFICIAL BOOKMARK,https://www.musicplaza.com/collections/new-releases/products/holiday-special-35-nmixx-ad-mare-official-bookmark,9.99,False,0.0,0,0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 15B | [ LE SSERAFIM ] ANTIFRAGILE | OFFICIAL BOOKMARK,https://www.musicplaza.com/collections/new-releases/products/holiday-special-15b-le-sserafim-antifragile-official-bookmark,9.99,False,0.0,0,0,musicplaza,False,2022-11-14
박진영 | PARK JINYOUNG 2023 SEASON'S GREETINGS,https://www.musicplaza.com/collections/new-releases/products/%EB%B0%95%EC%A7%84%EC%98%81-park-jinyoung-2023-seasons-greetings,59.99,False,0.0,0,0,musicplaza,False,2022-11-14
마리끌레르 | MARIE CLAIRE 2022-12 [ LEE SUNGKYUNG ] RANDOM COVER,https://www.musicplaza.com/collections/new-releases/products/%EB%A7%88%EB%A6%AC%EB%81%8C%EB%A0%88%EB%A5%B4-marie-claire-2022-12-kim-sunkyung,18.99,False,0.0,0,0,musicplaza,True,2022-11-14
맵스 | MAPS 2022-12 [ NEW & YABUKI NAKO ],https://www.musicplaza.com/collections/new-releases/products/%EB%A7%B5%EC%8A%A4-maps-2022-12-new-yabuki-nako,21.99,False,0.0,0,0,musicplaza,False,2022-11-14
조수미 | SUMI JO [ 사랑할때 / IN LOVE ],https://www.musicplaza.com/collections/new-releases/products/%EC%A1%B0%EC%88%98%EB%AF%B8-sumi-jo-%EC%82%AC%EB%9E%91%ED%95%A0%EB%95%8C-in-love,23.99,False,0.0,0,0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 34 | [ MONSTA X ] NO LIMIT TOUR IN SEOUL | OFFICIAL PHOTOCARD,https://www.musicplaza.com/collections/new-releases/products/holiday-special-34-monsta-x-no-limit-tour-in-seoul-official-photocard,9.99,False,0.0,0,0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 32 | [ IKON ] FLASHBACK | OFFICIAL PHOTOCARD,https://www.musicplaza.com/collections/new-releases/products/holiday-special-32-ikon-flashback-official-photocard,9.99,False,0.0,0,0,musicplaza,False,2022-11-14
카라 | KARA 15TH ANNIVERSARY SPECIAL ALBUM [ MOVE AGAIN ],https://www.musicplaza.com/collections/new-releases/products/%EC%B9%B4%EB%9D%BC-kara-15th-anniversary-special-album-move-again,26.99,False,0.0,0,0,musicplaza,False,2022-11-14
티오원 | TO1 4TH MINI ALBUM [ UP2U ],https://www.musicplaza.com/collections/new-releases/products/%ED%8B%B0%EC%98%A4%EC%9B%90-to1-4th-mini-album-up2u,22.99,False,0.0,0,0,musicplaza,False,2022-11-14
오윈 | OWEN [ CRY ],https://www.musicplaza.com/collections/new-releases/products/%EC%98%A4%EC%9C%88-owen-cry,24.99,False,0.0,0,0,musicplaza,False,2022-11-14
