item,url,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
스테이씨 | STAYC 2023 SEASON'S GREETINGS,https://www.musicplaza.com/collections/photo-book/products/%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%94%A8-stayc-2023-seasons-greetings,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
에이티즈 | ATEEZ 2023 SEASON'S GREETINGS,https://www.musicplaza.com/collections/photo-book/products/%EC%97%90%EC%9D%B4%ED%8B%B0%EC%A6%88-ateez-2023-seasons-greetings,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 37 | [ YOUNGJAE ] SUGAR | OFFICIAL PHOTOCARD,https://www.musicplaza.com/collections/photo-book/products/holiday-special-37-youngjae-sugar-official-photocard,9.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 30 | [ BRAVE GIRLS ] THANK YOU | OFFICIAL CIRCLE CARD,https://www.musicplaza.com/collections/photo-book/products/holiday-special-30-brave-girls-thank-you-official-circle-card,9.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 33A | [ LOONA ] FLIP THAT | OFFICIAL PHOTOCARD (VER. A),https://www.musicplaza.com/collections/photo-book/products/holiday-special-33a-loona-flip-that-official-photocard,9.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 35 | [ NMIXX ] AD MARE | OFFICIAL BOOKMARK,https://www.musicplaza.com/collections/photo-book/products/holiday-special-35-nmixx-ad-mare-official-bookmark,9.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 15B | [ LE SSERAFIM ] ANTIFRAGILE | OFFICIAL BOOKMARK,https://www.musicplaza.com/collections/photo-book/products/holiday-special-15b-le-sserafim-antifragile-official-bookmark,9.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
박진영 | PARK JINYOUNG 2023 SEASON'S GREETINGS,https://www.musicplaza.com/collections/photo-book/products/%EB%B0%95%EC%A7%84%EC%98%81-park-jinyoung-2023-seasons-greetings,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 34 | [ MONSTA X ] NO LIMIT TOUR IN SEOUL | OFFICIAL PHOTOCARD,https://www.musicplaza.com/collections/photo-book/products/holiday-special-34-monsta-x-no-limit-tour-in-seoul-official-photocard,9.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 32 | [ IKON ] FLASHBACK | OFFICIAL PHOTOCARD,https://www.musicplaza.com/collections/photo-book/products/holiday-special-32-ikon-flashback-official-photocard,9.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
* HOLIDAY SPECIAL 26 | [ TREASURE ] 2021 SUMMER CAMP | OFFICIAL PHOTOCARD,https://www.musicplaza.com/collections/photo-book/products/holiday-special-26-treasure-2021-summer-camp-official-photocard,9.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
에스파 | AESPA 2023 SEASON'S GREETINGS + POB(4PCS),https://www.musicplaza.com/collections/photo-book/products/%EC%97%90%EC%8A%A4%ED%8C%8C-aespa-2023-seasons-greetings-pob4pcs,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
웨이션브이 | WAYV 2023 SEASON'S GREETINGS + POB(6PCS),https://www.musicplaza.com/collections/photo-book/products/%EC%9B%A8%EC%9D%B4%EC%85%98%EB%B8%8C%EC%9D%B4-wayv-2023-seasons-greetings-pob6pcs,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
NCT DREAM 2023 SEASON'S GREETINGS + POB(7PCS),https://www.musicplaza.com/collections/photo-book/products/nct-dream-2023-seasons-greetings-pob7pcs,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
NCT 127 2023 SEASON'S GREETINGS + POB(9PCS),https://www.musicplaza.com/collections/photo-book/products/nct-127-2023-seasons-greetings-pob9pcs,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
레드벨벳 | RED VELVET 2023 SEASON'S GREETINGS + POB(5PCS),https://www.musicplaza.com/collections/photo-book/products/%EB%A0%88%EB%93%9C%EB%B2%A8%EB%B2%B3-red-velvet-2023-seasons-greetings-pob5pcs,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
엑소 | EXO 2023 SEASON'S GREETINGS + POB(6PCS),https://www.musicplaza.com/collections/photo-book/products/%EC%97%91%EC%86%8C-exo-2023-seasons-greetings-pob6pcs,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
샤이니 | SHINEE 2023 SEASON'S GREETINGS + POB(3PCS),https://www.musicplaza.com/collections/photo-book/products/%EC%83%A4%EC%9D%B4%EB%8B%88-shinee-2023-seasons-greetings-pob3pcs,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
동방신기 | TVXQ 2023 SEASON'S GREETINGS+ POB(2PCS),https://www.musicplaza.com/collections/photo-book/products/%EB%8F%99%EB%B0%A9%EC%8B%A0%EA%B8%B0-tvxq-2023-seasons-greetings-pob2pcs,59.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-14
