item,url,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
에이티즈 | ATEEZ 2023 SEASON'S GREETINGS,https://www.musicplaza.com/collections/pre-order/products/%EC%97%90%EC%9D%B4%ED%8B%B0%EC%A6%88-ateez-2023-seasons-greetings,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
알엠 | RM [ INDIGO ] BOOK EDITION + DECO STICKER,https://www.musicplaza.com/collections/pre-order/products/%EC%95%8C%EC%97%A0-rm-indigo-book-edition,23.99,False,0.00,0,0,musicplaza,False,2022-11-15
알엠 | RM [ INDIGO ] POSTCARD EDITION | WEVERSE ALBUM VER.,https://www.musicplaza.com/collections/pre-order/products/%EC%95%8C%EC%97%A0-rm-indigo-postcard-edition-weverse-album-ver,16.99,False,0.00,0,0,musicplaza,False,2022-11-15
박진영 | PARK JINYOUNG 2023 SEASON'S GREETINGS,https://www.musicplaza.com/collections/pre-order/products/%EB%B0%95%EC%A7%84%EC%98%81-park-jinyoung-2023-seasons-greetings,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
마리끌레르 | MARIE CLAIRE 2022-12 [ LEE SUNGKYUNG ] RANDOM COVER,https://www.musicplaza.com/collections/pre-order/products/%EB%A7%88%EB%A6%AC%EB%81%8C%EB%A0%88%EB%A5%B4-marie-claire-2022-12-kim-sunkyung,18.99,False,0.00,0,0,musicplaza,True,2022-11-15
맵스 | MAPS 2022-12 [ NEW & YABUKI NAKO ],https://www.musicplaza.com/collections/pre-order/products/%EB%A7%B5%EC%8A%A4-maps-2022-12-new-yabuki-nako,21.99,False,0.00,0,0,musicplaza,False,2022-11-15
카라 | KARA 15TH ANNIVERSARY SPECIAL ALBUM [ MOVE AGAIN ],https://www.musicplaza.com/collections/pre-order/products/%EC%B9%B4%EB%9D%BC-kara-15th-anniversary-special-album-move-again,26.99,False,0.00,0,0,musicplaza,False,2022-11-15
티오원 | TO1 4TH MINI ALBUM [ UP2U ],https://www.musicplaza.com/collections/pre-order/products/%ED%8B%B0%EC%98%A4%EC%9B%90-to1-4th-mini-album-up2u,22.99,False,0.00,0,0,musicplaza,False,2022-11-15
오윈 | OWEN [ CRY ],https://www.musicplaza.com/collections/pre-order/products/%EC%98%A4%EC%9C%88-owen-cry,24.99,False,0.00,0,0,musicplaza,False,2022-11-15
니엘 | NIEL 3RD MINI ALBUM [ A TO Z ],https://www.musicplaza.com/collections/pre-order/products/%EB%8B%88%EC%97%98-niel-3rd-mini-album-a-to-z,21.99,False,0.00,0,0,musicplaza,False,2022-11-15
첫사랑 | CSR 1ST SINGLE ALBUM [ Sequence : 17& ],https://www.musicplaza.com/collections/pre-order/products/%EC%B2%AB%EC%82%AC%EB%9E%91-csr-1st-single-album-sequence-17,21.99,False,0.00,0,0,musicplaza,False,2022-11-15
시크릿 넘버 | SECRET NUMBER 5TH SINGLE ALBUM [ TAP ],https://www.musicplaza.com/collections/pre-order/products/%EC%8B%9C%ED%81%AC%EB%A6%BF-%EB%84%98%EB%B2%84-secret-number-5th-single-album-tap,22.99,False,0.00,0,0,musicplaza,False,2022-11-15
진검승부 | BAD PROSECUTOR O.S.T.,https://www.musicplaza.com/collections/pre-order/products/%EC%A7%84%EA%B2%80%EC%8A%B9%EB%B6%80-bad-prosecutor-o-s-t,27.99,False,0.00,0,0,musicplaza,True,2022-11-15
BT21 MININI FLOWER DECO HOLDER,https://www.musicplaza.com/collections/pre-order/products/bt21-minini-flower-deco-holder,16.99,False,0.00,0,0,musicplaza,False,2022-11-15
웨이션브이 | WAYV 2023 SEASON'S GREETINGS + POB(6PCS),https://www.musicplaza.com/collections/pre-order/products/%EC%9B%A8%EC%9D%B4%EC%85%98%EB%B8%8C%EC%9D%B4-wayv-2023-seasons-greetings-pob6pcs,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
에스파 | AESPA 2023 SEASON'S GREETINGS + POB(4PCS),https://www.musicplaza.com/collections/pre-order/products/%EC%97%90%EC%8A%A4%ED%8C%8C-aespa-2023-seasons-greetings-pob4pcs,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
NCT DREAM 2023 SEASON'S GREETINGS + POB(7PCS),https://www.musicplaza.com/collections/pre-order/products/nct-dream-2023-seasons-greetings-pob7pcs,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
NCT 127 2023 SEASON'S GREETINGS + POB(9PCS),https://www.musicplaza.com/collections/pre-order/products/nct-127-2023-seasons-greetings-pob9pcs,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
레드벨벳 | RED VELVET 2023 SEASON'S GREETINGS + POB(5PCS),https://www.musicplaza.com/collections/pre-order/products/%EB%A0%88%EB%93%9C%EB%B2%A8%EB%B2%B3-red-velvet-2023-seasons-greetings-pob5pcs,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
엑소 | EXO 2023 SEASON'S GREETINGS + POB(6PCS),https://www.musicplaza.com/collections/pre-order/products/%EC%97%91%EC%86%8C-exo-2023-seasons-greetings-pob6pcs,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
샤이니 | SHINEE 2023 SEASON'S GREETINGS + POB(3PCS),https://www.musicplaza.com/collections/pre-order/products/%EC%83%A4%EC%9D%B4%EB%8B%88-shinee-2023-seasons-greetings-pob3pcs,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
동방신기 | TVXQ 2023 SEASON'S GREETINGS+ POB(2PCS),https://www.musicplaza.com/collections/pre-order/products/%EB%8F%99%EB%B0%A9%EC%8B%A0%EA%B8%B0-tvxq-2023-seasons-greetings-pob2pcs,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
임형주 | LIM HYUNGJOO [  LOST IN MEMORY (잃어버린 추억 속으로) ],https://www.musicplaza.com/collections/pre-order/products/%EC%9E%84%ED%98%95%EC%A3%BC-lim-hyungjoo-lost-in-memory-%EC%9E%83%EC%96%B4%EB%B2%84%EB%A6%B0-%EC%B6%94%EC%96%B5-%EC%86%8D%EC%9C%BC%EB%A1%9C,24.99,False,0.00,0,0,musicplaza,False,2022-11-15
엔믹스 | NMIXX 2023 SEASON'S GREETINGS [ GIRLS OVER FLOWERS ],https://www.musicplaza.com/collections/pre-order/products/%EC%97%94%EB%AF%B9%EC%8A%A4-nmixx-2023-seasons-greetings-girls-over-flowers,59.99,False,0.00,0,0,musicplaza,False,2022-11-15
강다니엘 | KANG DANIEL 1ST FULL ALBUM REPACKAGE [ RETOLD ],https://www.musicplaza.com/collections/pre-order/products/%EA%B0%95%EB%8B%A4%EB%8B%88%EC%97%98-kang-daniel-1st-full-album-repackage-retold,24.99,False,0.00,0,0,musicplaza,False,2022-11-15
BTS x COOKIERUN KINGDOM STICKER,https://www.musicplaza.com/collections/pre-order/products/bts-x-cookierun-kingdom-sticker,14.99,False,0.00,0,0,musicplaza,False,2022-11-15
