item,url,price,is_autograph,avg_review_value,number_of_questions,number_of_reviews,vendor,is_sold_out,ds
영탁 | YOUNG TAK 1ST ALBUM [ MMM ] PHOTOBOOK VER.,https://www.musicplaza.com/collections/adult-contemporary/products/%EC%98%81%ED%83%81-young-tak-1st-album-mmm-photobook-ver,27.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-15
영탁 | YOUNG TAK 1ST ALBUM [ MMM ] DIGIPACK VER.,https://www.musicplaza.com/collections/adult-contemporary/products/%EC%98%81%ED%83%81-young-tak-1st-album-mmm-digipack-ver,18.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-15
임영웅 | LIM YOUNGWOONG 1ST ALBUM [I M HERO ] DIGIPACK VER.,https://www.musicplaza.com/collections/adult-contemporary/products/%EC%9E%84%EC%98%81%EC%9B%85-lim-youngwoong-1st-album-i-m-hero-digipack-ver,17.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-15
임영웅 | LIM YOUNGWOONG 1ST ALBUM [I M HERO ] GIFT VER.,https://www.musicplaza.com/collections/adult-contemporary/products/%EC%9E%84%EC%98%81%EC%9B%85-lim-youngwoong-1st-album-i-m-hero-gift-ver,29.99,False,5.0,0.0,1.0,musicplaza,False,2022-11-15
임영웅 | LIM YOUNGWOONG 1ST ALBUM [I M HERO ] PHOTOBOOK VER.,https://www.musicplaza.com/collections/adult-contemporary/products/%EC%9E%84%EC%98%81%EC%9B%85-lim-youngwoong-1st-album-i-m-hero-photobook-ver,25.99,False,5.0,0.0,1.0,musicplaza,False,2022-11-15
임영웅 | LIM YOUNGWOONG 1ST ALBUM [I M HERO ] JEWEL VER. | 쥬얼케이스,https://www.musicplaza.com/collections/adult-contemporary/products/%EC%9E%84%EC%98%81%EC%9B%85-lim-youngwoong-1st-album-i-m-hero-jewel-ver-%EC%A5%AC%EC%96%BC%EC%BC%80%EC%9D%B4%EC%8A%A4,16.99,False,0.0,0.0,0.0,musicplaza,True,2022-11-15
7080 슬기로운 음악생활 오리지널 PART 1 | 2CD,https://www.musicplaza.com/collections/adult-contemporary/products/7080-%EC%8A%AC%EA%B8%B0%EB%A1%9C%EC%9A%B4-%EC%9D%8C%EC%95%85%EC%83%9D%ED%99%9C-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90-part-1-2cd,17.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-15
7080 낭만 IN 가요 | 7080 ROMANCE IN SONG,https://www.musicplaza.com/collections/adult-contemporary/products/7080-%EB%82%AD%EB%A7%8C-in-%EA%B0%80%EC%9A%94-3-for-1-7080-romance-in-song-3-for-1,27.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-15
7080 노래스케치 VOL. 1,https://www.musicplaza.com/collections/adult-contemporary/products/7080-%EB%85%B8%EB%9E%98%EC%8A%A4%EC%BC%80%EC%B9%98-1%EC%A7%91-3-for-1-koreans-favorite-song-sketch-1970-1980,22.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-15
김종환 | KIM JONGHWAN [ TIMELESS LOVE ],https://www.musicplaza.com/collections/adult-contemporary/products/copy-of-%EA%B9%80%EC%A2%85%ED%99%98-kim-jongwhan-6%EC%A7%91-now-forever,18.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-15
나는 가수다 | I AM SINGER [ TOP SINGER ESSENTIAL ],https://www.musicplaza.com/collections/adult-contemporary/products/%EC%84%9C%EB%B0%94%EC%9D%B4%EB%B2%8C-top%EA%B0%80%EC%88%98-%EC%97%90%EC%84%BC%EC%85%9C-%EC%95%A8%EB%B2%94-3-for-1-survival-top-singer-essential,27.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-15
임창정 -LIM CHANG JUNG - VOL.15 [십삼월],https://www.musicplaza.com/collections/adult-contemporary/products/%EC%9E%84%EC%B0%BD%EC%A0%95-lim-chang-jung-vol-15-%EC%8B%AD%EC%82%BC%EC%9B%94,25.99,False,0.0,0.0,0.0,musicplaza,False,2022-11-15
"박서진, 임영웅 - 트로트의 신 (2CD) (PARK SEO JIN, LIM YOUNG WOONG - THE GOD",https://www.musicplaza.com/collections/adult-contemporary/products/%EB%B0%95%EC%84%9C%EC%A7%84-%EC%9E%84%EC%98%81%EC%9B%85-%ED%8A%B8%EB%A1%9C%ED%8A%B8%EC%9D%98-%EC%8B%A0-2cd-park-seo-jin-lim-young-woong-the-god,19.99,False,0.0,0.0,0.0,musicplaza,True,2022-11-15
