item,url,artist,discount_price,price,is_sold_out,ds,vendor,is_autograph,avg_review_value,number_of_questions,number_of_reviews,presale
TWICE 11th MINI ALBUM BETWEEN 1&2,https://en.thejypshop.com/product/twice-11th-mini-album-between-12/538/category/56/display/1/,TWICE,18.55,22.9,False,2022-11-14,jypshop,,,,,
1st Mini Album IM NAYEON,https://en.thejypshop.com/product/1st-mini-album-im-nayeon/176/category/56/display/1/,NAYEON,17.82,22.0,False,2022-11-14,jypshop,,,,,
TWICE 1st Mini Album The Story Begins,https://en.thejypshop.com/product/twice-1st-mini-album-the-story-begins/126/category/56/display/1/,TWICE,11.91,14.7,False,2022-11-14,jypshop,,,,,
TWICE 3rd Mini Album TWICEcoaster : LANE 1,https://en.thejypshop.com/product/twice-3rd-mini-album-twicecoaster-lane-1/120/category/56/display/1/,TWICE,12.64,15.6,False,2022-11-14,jypshop,,,,,
Special Album TWICEcoaster : LANE 2,https://en.thejypshop.com/product/special-album-twicecoaster-lane-2/117/category/56/display/1/,TWICE,14.09,17.4,False,2022-11-14,jypshop,,,,,
4th Mini Album Signal,https://en.thejypshop.com/product/4th-mini-album-signal/116/category/56/display/1/,TWICE,14.09,17.4,False,2022-11-14,jypshop,,,,,
TWICE 1st Repackage Album Merry & Happy,https://en.thejypshop.com/product/twice-1st-repackage-album-merry-happy/112/category/56/display/1/,TWICE,14.82,18.3,False,2022-11-14,jypshop,,,,,
TWICE 5th Mini Album What is Love?,https://en.thejypshop.com/product/twice-5th-mini-album-what-is-love/108/category/56/display/1/,TWICE,14.82,18.3,False,2022-11-14,jypshop,,,,,
2nd Summer Special Album Summer Nights,https://en.thejypshop.com/product/2nd-summer-special-album-summer-nights/107/category/56/display/1/,TWICE,14.82,18.3,False,2022-11-14,jypshop,,,,,
"TWICE 3rd Special Album The year of ""YES""",https://en.thejypshop.com/product/twice-3rd-special-album-the-year-of-yes/103/category/56/display/1/,TWICE,15.63,19.3,False,2022-11-14,jypshop,,,,,
